单词,词性,释义,遗忘次数,记忆次数
sublime,v.,超群出众,0,0
subsequent ,adj.,后来的， 随后的,0,0
subservient,adj.,服服帖帖的， 奉承的,0,0
subsidize,v.,资助， 赞助,0,0
subsist,v.,维持生存， 生存下去,0,0
substantial,adj.,大量的,0,0
substantiate,v.,证明,0,0
subsume,v., 归入，包含,0,0
subterfuge,n.,诡计,0,0
subtext,n.,潜台词,0,0
subtle,adj.,难以理解的,0,0
succinct,adj.,简洁的,0,0
succumb,v.,屈服,0,0
suffice ,v.,足够,0,0
suffrage,n.,选举权,0,0
sullen,adj.,阴郁的，生气的,0,0
sumptuous,adj.,奢侈的， 华丽的,0,0
superficial,adj.,表面的,0,0
superfluous,adj. ,多余的,0,0
supersede,v.,淘汰， 取代,0,0
supplant,v.,取代,0,0
supple,adj.,灵活的,0,0
supplicate,v.,恳求,0,0
surfeit,n.,过量,0,0
surly,adj.,傲慢的，粗暴的,0,0
surmise,v.,猜测,0,0
surmount,v.,克服， 战胜,0,0
surplus,n.,多余， 过量,0,0
surreptitious,adj.,秘密的， 鬼鬼祟祟的,0,0
surrogate,v.,代理,0,0
susceptible,adj.,易受影响的,0,0
sway,v.,影响， 控制,0,0
sweeping,adj.,广泛的,0,0
swift,adj.,快速的,0,0
sycophantic,adj.,奉承的,0,0
symmetrical,adj.,对称的,0,0
synchronous,adj.,同时的,0,0
synergy,n.,协同作用,0,0
synonymous,adj.,意思相同的,0,0
synopsis,n.,概要,0,0
synoptic,adj. ,摘要的,0,0
tacit,adj.,不言而喻的， 心照不宣的,0,0
taciturn,adj.,沉默寡言的,0,0
tack,v.,固定，附加,0,0
tackle,v.,着手处理,0,0
tactful,adj.,为他人着想的， 圆滑的,0,0
tailor,v.,修改,0,0
taint,v.,玷污， 破坏,0,0
tangential,adj.,离题的；肤浅的,0,0
tangible,adj.,可感知的， 实实在在的,0,0
tantamount,adj.,（数量，效果）相同的,0,0
tarnish,v.,玷污,0,0
tautology,n.,赘述,0,0
tawdry,adj.,俗气的,0,0
taxing,adj.,繁重的， 劳累的,0,0
tectonic,adj.,建筑的,0,0
tedious,adj.,冗长无聊的,0,0
teem,v.,充满,0,0
teetotalism,n.,禁酒主义,0,0
telling,adj.,有说服力的， 有影响力的,0,0
telltale,adj.,泄露内情的,0,0
temerity,v. ,鲁莽,0,0
temper,v.,调和， 使缓和,0,0
temperate,adj.,（气温）温和的,0,0
temptation,n.,诱惑,0,0
tenacious,adj.,坚定的,0,0
tend,v.,照顾，养育,0,0
tendentious,adj.,偏袒的， 偏向的,0,0
tender,v.,提供,0,0
tentative,adj.,试探性的，临时的,0,0
tenuous,adj.,站不住脚的,0,0
tepid,adj.,冷淡的， 不热情的,0,0
terminology,n.,术语,0,0
terse,adj.,简洁的,0,0
testimony,n.,证词， 证据,0,0
testing,adj.,费力的,0,0
testy,adj.,易怒的,0,0
thenceforth,adv.,此后，从那时开始,0,0
threshold,n.,阈值， 临界点,0,0
thrill,v.,使...兴奋,0,0
thrive,v.,兴旺发达,0,0
thwart,v.,破坏， 阻止,0,0
tilt,v.,倾斜,0,0
timely,adv.,合时宜地,0,0
timorous,adj.,胆小的,0,0
token,n. ,象征,0,0
tonic,adj.,有益健康的,0,0
torpor,n.,麻木， 迟钝， 懒散,0,0
tortuous,adj.,复杂难懂的,0,0
totalitarianism,n.,极权主义,0,0
totem,n.,标志， 象征,0,0
touchstone,n.,检验标准,0,0
tout,v.,兜售,0,0
towering,adj.,高大的,0,0
tractable,adj.,易管理的， 易控制的,0,0
trammel,v.,阻碍，限制自由,0,0
tranquil,adj.,安静的,0,0
transcend,v., 超越,0,0
transgress,v.,违反， 违背,0,0
transient,adj.,短暂的,0,0
transitory,adj.,短暂的,0,0
transmogrify,v.,使...变形,0,0
transparent,adj.,透明的,0,0
traumatic,adj.,心灵受创伤的,0,0
treacherous,adj.,不可靠的， 背叛的,0,0
tremendous,adj.,巨大的,0,0
trenchant,adj.,尖酸刻薄的,0,0
trendy,adj.,时髦的,0,0
trepidation,n.,恐惧， 害怕,0,0
tribulation,n.,痛苦(的经历）,0,0
tribute,n.,赞美， 致敬,0,0
trickster,n.,骗子,0,0
trifling,adj., 不重要的,0,0
trigger,v.,触发,0,0
trio,n.,三足鼎立， 三个一组,0,0
trite,adj.,陈词滥调的,0,0
triumph,n.,胜利， 成就,0,0
triumvirate,n. ,三足鼎立,0,0
trivial,adj.,不重要的,0,0
truculent,adj.,好争斗的,0,0
truism,n., 真理,0,0
trumpet,v.,鼓吹,0,0
truncate,v.,缩短,0,0
tug,v.,用力拉,0,0
tumultuous,adj.,混乱的,0,0
turbid,adj.,浑浊的,0,0
turbulent,adj.,混乱的,0,0
tweak,v.,拧,0,0
tycoon,n.,企业界大亨， 巨头,0,0
tyrant,n.,暴君,0,0
tyro,n.,新手,0,0
ubiquitous,adj.,到处存在的， 广泛的,0,0
umbrage,n.,生气， 不悦,0,0
unalloyed,adj.,纯粹的，完全的,0,0
unanimous,adj.,意见一致的,0,0
unassuming,adj.,谦虚的， 低调的,0,0
unbounded,adj.,不受限制的， 无限的,0,0
uncanny,adj.,奇异的,0,0
uncertainty,n. ,不确定，不可靠,0,0
uncharacteristic,adj.,不典型的， 不寻常的,0,0
uncompromising,adj.,不妥协的， 坚定的,0,0
unconscionable,adj.,丧心病狂的， 违背良心的,0,0
unctuous,adj.,虚情假意的,0,0
undercut,v.,削弱,0,0
underlie,v.,成为...根据， 基础,0,0
undermine,v.,削弱,0,0
underpin,v. ,支持， 支撑,0,0
underplay,v.,轻描淡写， 低估,0,0
underrate,v.,低估,0,0
underscore,v.,强调,0,0
understate,v.,少说， 少报,0,0
undiscriminating,adj.,不加区分的,0,0
undo,v.,撤销,0,0
undue,adj.,过量的,0,0
unearth,v.,揭露,0,0
unerring,adj.,一贯准确的,0,0
uneventful,adj.,平凡的， 没有大事发生的,0,0
unexampled,adj.,史无前例的,0,0
unexceptional,adj.,普通的,0,0
unfaltering,adj.,坚定的,0,0
unfeeling,adj.,冷血的， 没有同情心的,0,0
unfettered,adj.,不受限制的， 自由的,0,0
unflinching,adj.,坚定的， 不退缩的,0,0
unfounded,adj.,毫无根据的,0,0
ungainly,adj.,笨拙的,0,0
unidimensional,adj.,肤浅的,0,0
unilateral,adj.,单方面的,0,0
unimpeachable,adj.,毋庸置疑的,0,0
universal,adj.,普世的,0,0
univocal,adj.,（意思）唯一的,0,0
unkempt,adj.,不整洁的， 邋遢的,0,0
unmistakable,adj.,清晰的， 一目了然的,0,0
unnerve,v. ,使...失去勇气,0,0
unqualified,adj.,完全的,0,0
unrelenting,adj.,不屈的,0,0
unremitting,adj.,坚持不懈的，不间断的,0,0
,,,0,0
unrest,n. ,不安,0,0
unrivaled,adj.,无法匹敌的,0,0
unruly,adj.,不服管理的， 难以控制的,0,0
unseemly,adj.,不得体的,0,0
unsparing,adj.,无情的， 苛求的,0,0
untenable,adj.,（论点）经不起反驳的， 站不住脚的,0,0
untether,v.,释放， 脱离,0,0
untiring,adj. ,不知疲倦的,0,0
untoward,adj.,不利的,0,0
untrammeled,adj.,自由的,0,0
unwieldy,adj.,体积庞大而笨重的,0,0
unwitting,adj.,不知情的,0,0
unyielding,adj.,不妥协的， 固执的,0,0
upbeat,adj.,积极乐观的， 愉快的,0,0
upheaval,n.,（引起混乱的）巨变,0,0
upright,adj.,垂直的,0,0
uprising,n.,起义， 叛乱,0,0
uproot,v.,连根拔起， 消灭,0,0
upshot,n.,结局,0,0
upsurge,n.,增长,0,0
uptake,n.,理解,0,0
urbane,adj.,礼貌的,0,0
usage,n.,对待方式,0,0
usher,v.,引领....进入,0,0
usurp,v.,篡夺,0,0
utilitarian,adj.,??实用的,0,0
utilitarianism,n.,功利主义,0,0
utter,adj.,完全的,0,0
vacant,adj.,空的,0,0
vacillate ,v.,犹豫不决,0,0
vacuous,adj.,空的，空洞的,0,0
vagary,n.,反复无常,0,0
vainglorious,adj.,自负的， 自命不凡的,0,0
vainglory,n.,极度夸耀， 虚荣,0,0
valediction,n.,告别 ,0,0
valorize,v.,规定价格（引申为赞美）,0,0
vanguard,n.,先锋,0,0
vanquish,v.,打败， 战胜,0,0
vapid,adj.,无聊的,0,0
varnish,v.,装饰,0,0
veer,v.,改变方向,0,0
vehement,adj.,情绪激动的,0,0
velocity,n.,速度， 迅速,0,0
venal,adj.,贪污的,0,0
veneer,n.,虚饰或虚伪的外表,0,0
venerate,v.,尊敬,0,0
veracious,adj.,真实的,0,0
verbose,adj.,冗长的,0,0
verge,n.,边缘,0,0
verifiable,adj.,可验证的,0,0
verisimilitude,n.,逼真,0,0
vernacular,adj.,口头语的， 俗语的,0,0
versatile,adj.,多变的,0,0
vertiginous,adj.,令人眩晕的,0,0
verve,n.,热情， 活力,0,0
vestige,n.,遗迹，遗留,0,0
veto,v.,否决,0,0
vexation,n.,烦恼,0,0
viable,adj.,可行的,0,0
vicarious,adj.,身临其境的,0,0
vicinity,n.,周边环境,0,0
vicissitude,n.,变迁， 变化,0,0
vigilant,adj.,警惕的,0,0
vilify,v.,诽谤， 辱骂,0,0
villainous,adj.,极坏的， 恶劣的,0,0
vindicate,v.,证明...的清白,0,0
virtually,adv.,几乎,0,0
virtuosity,n.,精湛的技艺,0,0
virtuoso,n.,艺术品鉴赏家,0,0
virulent,adj.,有害的， 有毒的,0,0
visionary,adj.,有远见的,0,0
vitriolic,adj.,尖酸刻薄的,0,0
vituperate,v.,辱骂,0,0
vivacious,adj.,活力四射的,0,0
vociferous,adj.,吵吵嚷嚷的,0,0
volatile,adj.,性格多变的,0,0
volition,n.,自愿选择， 自行决定,0,0
voluble,adj. ,健谈的， 话多的,0,0
volume,n.,音量,0,0
voluminous,adj.,巨大的， 大量的,0,0
voracious,adj.,贪婪的,0,0
voyeur,n. ,好刺探他人隐私者,0,0
vulgar,adj.,粗俗的,0,0
vulnerable,adj.,易受伤害的,0,0
waffle,v.,犹豫不决,0,0
waggish,adj.,诙谐的,0,0
wallow,v.,沉溺于,0,0
wane,v.,减少，衰退,0,0
wanting,adj.,有缺陷的,0,0
warble,v.,低吟浅唱,0,0
warrant,v.,保证,0,0
wary,adj.,谨慎小心的,0,0
wastrel,n.,浪费的人,0,0
waver,v.,摇摆不定,0,0
wayward,adj.,任性的,0,0
weary,adj. ,令人厌烦的,0,0
weather,v., 渡过（危机）,0,0
weighty,adj.,重要的,0,0
whereabouts,n.,行踪， 下落,0,0
whet,v.,削尖,0,0
whimsy,n.,突发奇想,0,0
whisk,v.,迅速送走（人或事物）,0,0
whit,n.,少量,0,0
wholesale,adj.,大规模的,0,0
wholesome,adj.,有益健康的,0,0
wide-ranging,adj.,广泛的,0,0
widespread,adj.,广泛的,0,0
wield,v.,使用,0,0
willful,adj.,固执任性的,0,0
wilt,v. ,萎蔫，衰弱,0,0
winnow,v.,筛选,0,0
wistful,adj.,渴望的，思念过去的,0,0
witty,adj.,机智幽默的,0,0
wondrous,adj.,奇异的,0,0
wont,adj.,有…倾向的,0,0
woo,v.,吸引,0,0
wooden,adj.,僵硬的，呆板的,0,0
,,,0,0
wrench,v.,猛扭,0,0
xenophobic,adj. ,排外的， 仇视外国的,0,0
yardstick,n.,准绳， 标准,0,0
yearn,v.,强烈渴望,0,0
yen,n.,（强烈的）渴望,0,0
yield,v.,投降， 屈服,0,0
yore,n.,很久以前,0,0
zealot,n.,狂热者,0,0
zealous,adj.,对（某人或偶像）狂热的,0,0
